"Department","Division","Model Name","Model#","Description","Shipping Date","Warranty Expiry Date","CPU","Memory","HDD/SSD"
"CCL",,"LATITUDE 5410","5410","PC-LAPTOP","08/07/2020",,"1600","16384",
"PIO",,"E14 GEN 2","E14 GEN 2","PC-LAPTOP","08/26/2021","09/15/2024","2400","16384",
"LIB",,"THINKCENTRE M920Z","M920Z","PC-DESKTOP","01/10/2020",,"3000","16384",
"DOT-DHS",,"THINKCENTRE M82","M82","PC-DESKTOP","08/31/2012","09/09/2015","3400","16384","238472"
"HHS",,"THINKCENTRE M710S","M710S","PC-DESKTOP","06/16/2017","06/18/2020","3200","16384",
"FRS",,"THINKCENTRE M710S","M710S","PC-DESKTOP","06/16/2017","07/30/2020","3200","16384",
"CCT",,"LATITUDE 5420","5420","PC-LAPTOP","05/17/2021",,"2600","16384",
"HHS",,"LATITUDE 5410","5410","PC-LAPTOP","07/02/2020","07/03/2023","1600","8192",
"DPS",,"MICROSOFT SURFACE BOOK 2 13.5","SURFACE BOOK 2 13.5","PC-TABLET","11/01/2019",,"1900","8192",
"DPS",,"MICROSOFT SURFACE BOOK 2 13.5","SURFACE BOOK 2 13.5","PC-TABLET","11/01/2019",,"1900","8192",
"HHS",,"LATITUDE 5420","5420","PC-LAPTOP","05/17/2021",,"2600","16384",
"BOE",,"LATITUDE 9420","9420","PC-LAPTOP","05/17/2021",,"2600","16384",
"CCT",,"THINKCENTRE M720S","M720S","PC-DESKTOP","01/10/2020",,"2800","8192",
"DOT-DTE",,"THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"CCL",,"THINKPAD L14","L14","PC-LAPTOP","09/29/2021","10/21/2024","2400","16384",
"CCL",,"E15 GEN 2","E15 GEN 2","PC-LAPTOP","03/12/2021","08/15/2022","2400","16384",
"FRS",,"THINKCENTRE M710S","M710S","PC-DESKTOP","10/24/2017","10/26/2020","3200","8192",
"DTS",,"THINKCENTRE M82","M82","PC-DESKTOP","02/13/2013","02/23/2016","3400","1907725",
"HHS",,"THINKCENTRE M710S","M710S","PC-DESKTOP","08/22/2017","08/28/2020","3200","8192",
"HHS",,"THINKPAD L440","L440","PC-LAPTOP","07/14/2014","08/27/2017","2500","8192","476937"
"HHS",,"THINKPAD L440","L440","PC-LAPTOP","07/14/2014","08/27/2017","2500","8192","476937"
"HHS",,"THINKPAD L440","L440","PC-LAPTOP","07/14/2014","08/27/2017","2500","8192","476937"
"HHS",,"THINKPAD L440","L440","PC-LAPTOP","07/14/2014","08/27/2017","2500","8192","476937"
"HHS",,"THINKPAD L440","L440","PC-LAPTOP","07/14/2014","08/27/2017","2500","8192","476937"
"HHS",,"THINKPAD L440","L440","PC-LAPTOP","07/14/2014","08/27/2017","2500","8192","476937"
"HHS",,"THINKPAD L440","L440","PC-LAPTOP","07/14/2014","08/27/2017","2500","8192","476937"
"DPS",,"MICROSOFT SURFACE BOOK 2 13.5","SURFACE BOOK 2 13.5","PC-TABLET","11/01/2019",,"1900","8192",
"DPS",,"MICROSOFT SURFACE BOOK 2 13.5","SURFACE BOOK 2 13.5","PC-TABLET","11/01/2019",,"1900","8192",
"DPS",,"MICROSOFT SURFACE BOOK 2 13.5","SURFACE BOOK 2 13.5","PC-TABLET","11/01/2019",,"1900","8192",
"CCT",,"THINKCENTRE M720S","M720S","PC-DESKTOP","01/10/2020",,"2800","8192",
"DPS",,"MICROSOFT SURFACE BOOK 2 13.5","SURFACE BOOK 2 13.5","PC-TABLET","11/01/2019",,"1900","8192",
"CCL","CWS","LATITUDE 5410","5410","PC-LAPTOP","08/07/2020",,"1600","8192",
"DOCR",,"LATITUDE 5420","5420","PC-LAPTOP","05/17/2021",,"2600","16384",
"LIB",,"THINCENTRE M630E TINY","M630E TINY","PC-DESKTOP","02/27/2021","03/17/2024",,,
"LIB",,"THINCENTRE M630E TINY","M630E TINY","PC-DESKTOP","02/27/2021","03/17/2024",,,
"DOCR",,"LATITUDE 5420","5420","PC-LAPTOP","05/17/2021",,"2600","16384",
"DOCR",,"LATITUDE 5420","5420","PC-LAPTOP","05/17/2021",,"2600","16384",
"LIB",,"THINCENTRE M630E TINY","M630E TINY","PC-DESKTOP","02/27/2021","03/17/2024",,,
"LIB",,"THINCENTRE M630E TINY","M630E TINY","PC-DESKTOP","02/27/2021","03/17/2024",,,
"DGS-BDC","BDC","X1 YOGA","X1 YOGA","PC-LAPTOP","06/17/2017","08/05/2020","2600","16384",
"POL","HQ","THINKCENTRE M83","M83","PC-DESKTOP","03/09/2015","04/22/2018","3200","8192",
"POL","HQ","THINKCENTRE M83","M83","PC-DESKTOP","03/09/2015","04/22/2018","3200","8192",
"POL","HQ","THINKCENTRE M83","M83","PC-DESKTOP","03/09/2015","04/22/2018","3200","8192",
"POL","HQ","THINKCENTRE M83","M83","PC-DESKTOP","03/09/2015","04/22/2018","3200","8192",
"POL","HQ","THINKCENTRE M83","M83","PC-DESKTOP","03/09/2015","04/22/2018","3200","8192",
"POL","HQ","THINKCENTRE M83","M83","PC-DESKTOP","03/09/2015","04/22/2018","3200","8192",
"POL","HQ","THINKCENTRE M83","M83","PC-DESKTOP","03/09/2015","04/22/2018","3200","8192",
"POL","HQ","THINKCENTRE M83","M83","PC-DESKTOP","03/09/2015","04/22/2018","3200","8192",
"POL","HQ","THINKCENTRE M83","M83","PC-DESKTOP","03/09/2015","04/22/2018","3200","8192",
"POL","HQ","THINKCENTRE M83","M83","PC-DESKTOP","03/09/2015","04/22/2018","3200","8192",
"POL","HQ","THINKCENTRE M83","M83","PC-DESKTOP","03/09/2015","04/22/2018","3200","8192",
"POL","HQ","THINKCENTRE M83","M83","PC-DESKTOP","03/09/2015","04/22/2018","3200","8192",
"POL","HQ","THINKCENTRE M83","M83","PC-DESKTOP","03/09/2015","04/22/2018","3200","8192",
"DHCA",,"THINKCENTRE M83","M83","PC-DESKTOP","03/09/2015","04/22/2018","3200","8192",
"DHCA",,"LATITUDE 5410","5410","PC-LAPTOP","09/11/2020",,"1600","8192",
"DOCR",,"LATITUDE 5420","5420","PC-LAPTOP","05/17/2021",,"2600","16384",
"DOCR",,"LATITUDE 5420","5420","PC-LAPTOP","05/17/2021",,"2600","16384",
"HHS",,"LATITUDE 5420","5420","PC-LAPTOP","05/08/2021","05/09/2024","2600","16384",
"LIB",,"THINCENTRE M630E TINY","M630E TINY","PC-DESKTOP","02/26/2021","03/17/2024",,,
"DPS",,"MICROSOFT SURFACE BOOK 2 13.5","SURFACE BOOK 2 13.5","PC-TABLET","11/01/2019",,"1900","8192",
"DPS",,"MICROSOFT SURFACE BOOK 2 13.5","SURFACE BOOK 2 13.5","PC-TABLET","11/01/2019",,"1900","8192",
"POL","HQ","THINKCENTRE M83","M83","PC-DESKTOP","03/09/2015","04/22/2018","3200","8192",
"POL","HQ","THINKCENTRE M83","M83","PC-DESKTOP","03/09/2015","04/22/2018","3200","8192",
"POL","HQ","THINKCENTRE M83","M83","PC-DESKTOP","03/09/2015","04/22/2018","3200","8192",
"POL","HQ","THINKCENTRE M83","M83","PC-DESKTOP","03/09/2015","04/22/2018","3200","8192",
"POL","HQ","THINKCENTRE M83","M83","PC-DESKTOP","03/09/2015","04/22/2018","3200","8192",
"POL","HQ","THINKCENTRE M83","M83","PC-DESKTOP","03/09/2015","04/22/2018","3200","8192",
"POL","HQ","THINKCENTRE M83","M83","PC-DESKTOP","03/09/2015","04/22/2018","3200","8192",
"POL","HQ","THINKCENTRE M83","M83","PC-DESKTOP","03/09/2015","04/22/2018","3200","8192",
"POL","HQ","THINKCENTRE M83","M83","PC-DESKTOP","03/09/2015","04/22/2018","3200","8192",
"POL","HQ","THINKCENTRE M83","M83","PC-DESKTOP","03/09/2015","04/22/2018","3200","8192",
"POL","HQ","THINKCENTRE M83","M83","PC-DESKTOP","03/09/2015","04/22/2018","3200","8192",
"POL","HQ","THINKCENTRE M83","M83","PC-DESKTOP","03/09/2015","04/22/2018","3200","8192",
"FRS",,"THINKCENTRE M83","M83","PC-DESKTOP","09/01/2015","10/16/2018","3300","8192","122103"
"LIB",,"LATITUDE 5285","5285","PC-TABLET","12/14/2017",,,,
"LIB",,"LATITUDE 5285","5285","PC-TABLET","12/14/2017",,,,
"LIB",,"LATITUDE 5285","5285","PC-TABLET","12/14/2017",,,,
"LIB",,"LATITUDE 5285","5285","PC-TABLET","12/14/2017",,,,
"LIB",,"LATITUDE 5285","5285","PC-TABLET","12/14/2017",,,,
"LIB",,"LATITUDE 5285","5285","PC-TABLET","12/14/2017",,,,
"LIB",,"LATITUDE 5285","5285","PC-TABLET","12/14/2017",,,,
"DHCA",,"LATITUDE 5410","5410","PC-LAPTOP","09/11/2020",,"1600","8192",
"BOE",,"THINKCENTRE M710S","M710S","PC-DESKTOP","09/22/2017","11/05/2020","3200","8192",
"DHCA",,"LATITUDE 5410","5410","PC-LAPTOP","09/11/2020",,"1600","8192",
"CEC-SS",,"THINKCENTRE M800","M800","PC-DESKTOP","05/11/2017","05/31/2020","3200","8192",
"HHS",,"THINKPAD L430","L430","PC-LAPTOP","08/31/2013","10/14/2016","2500","304931",
"HHS",,"THINKPAD L430","L430","PC-LAPTOP","08/31/2013","10/14/2016","2500","304931",
"OCP",,"THINKPAD X1","X1","PC-LAPTOP","04/08/2018","05/31/2021","2600","8192",
"HHS",,"THINKCENTRE M83","M83","PC-DESKTOP","10/28/2014","12/11/2017","3200","8192","476937"
"POL","PSTA","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","PSTA","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","PSTA","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","PSTA","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"DPS",,"MICROSOFT SURFACE BOOK 2 13.5","SURFACE BOOK 2 13.5","PC-TABLET","11/01/2019",,"1900","8192",
"DOCR",,"LATITUDE 5420","5420","PC-LAPTOP","05/17/2021",,"2600","16384",
"HHS","ADS","THINKPAD L430","L430","PC-LAPTOP","07/01/2013","08/14/2016","2500","304931",
"HHS","ADS","THINKPAD L430","L430","PC-LAPTOP","07/01/2013","08/14/2016","2500","304931",
"HHS","ADS","THINKPAD L430","L430","PC-LAPTOP","07/01/2013","08/14/2016","2500","304931",
"HHS","ADS","THINKPAD L430","L430","PC-LAPTOP","07/01/2013","08/14/2016","2500","304931",
"HHS","ADS","THINKPAD L430","L430","PC-LAPTOP","07/01/2013","08/14/2016","2500","304931",
"HHS","ADS","THINKPAD L430","L430","PC-LAPTOP","07/01/2013","08/14/2016","2500","304931",
"HHS","ADS","THINKPAD L430","L430","PC-LAPTOP","07/01/2013","08/14/2016","2500","304931",
"HHS","ADS","THINKPAD L430","L430","PC-LAPTOP","07/01/2013","08/14/2016","2500","304931",
"POL","PSTA","THINKCENTRE M800","M800","PC-DESKTOP","06/16/2016","07/30/2019","3200","8192",
"POL","PSTA","THINKCENTRE M800","M800","PC-DESKTOP","06/16/2016","07/30/2019","3200","8192",
"POL","PSTA","THINKCENTRE M800","M800","PC-DESKTOP","06/16/2016","07/30/2019","3200","8192",
"POL","PSTA","THINKCENTRE M800","M800","PC-DESKTOP","06/16/2016","07/30/2019","3200","8192",
"POL","PSTA","THINKCENTRE M800","M800","PC-DESKTOP","06/16/2016","07/30/2019","3200","8192",
"CCT",,"THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019",,,
"DPS",,"MICROSOFT SURFACE BOOK 2 13.5","SURFACE BOOK 2 13.5","PC-TABLET","11/01/2019",,"1900","8192",
"DPS",,"MICROSOFT SURFACE BOOK 2 13.5","SURFACE BOOK 2 13.5","PC-TABLET","11/01/2019",,"1900","8192",
"DPS",,"MICROSOFT SURFACE BOOK 2 13.5","SURFACE BOOK 2 13.5","PC-TABLET","11/01/2019",,"1900","8192",
"DPS",,"MICROSOFT SURFACE BOOK 2 13.5","SURFACE BOOK 2 13.5","PC-TABLET","11/01/2019",,"1900","8192",
"DPS",,"MICROSOFT SURFACE BOOK 2 13.5","SURFACE BOOK 2 13.5","PC-TABLET","11/01/2019",,"1900","8192",
"DPS",,"MICROSOFT SURFACE BOOK 2 13.5","SURFACE BOOK 2 13.5","PC-TABLET","11/01/2019",,"1900","8192",
"POL","PSTA","THINKCENTRE M800","M800","PC-DESKTOP","06/16/2016","07/30/2019","3200","8192",
"POL","PSTA","THINKCENTRE M800","M800","PC-DESKTOP","06/16/2016","07/30/2019","3200","8192",
"POL","PSTA","THINKCENTRE M800","M800","PC-DESKTOP","06/16/2016","07/30/2019","3200","8192",
"POL","PSTA","THINKCENTRE M800","M800","PC-DESKTOP","06/16/2016","07/30/2019","3200","8192",
"POL","PSTA","THINKCENTRE M800","M800","PC-DESKTOP","06/16/2016","07/30/2019","3200","8192",
"POL","PSTA","THINKCENTRE M800","M800","PC-DESKTOP","06/16/2016","07/30/2019","3200","8192",
"DTS",,"THINKPAD L470","L470","PC-LAPTOP","06/20/2017",,"2500","16384",
"DGS-FAC",,"E15 GEN 2","E15 GEN 2","PC-LAPTOP","07/26/2021","08/15/2022","2400","16384",
"HHS",,"THINKPAD L490","L490","PC-LAPTOP","06/15/2020","08/02/2023","1600","8192",
"CCT",,"LATITUDE 5420","5420","PC-LAPTOP","05/17/2021",,"2600","16384",
"DPS",,"MICROSOFT SURFACE BOOK 2 13.5","SURFACE BOOK 2 13.5","PC-TABLET","11/01/2019",,"1900","8192",
"CCT",,"LATITUDE 5420","5420","PC-LAPTOP","07/28/2021","07/29/2024","2600","16384",
"HHS",,"THINKPAD L430","L430","PC-LAPTOP","10/11/2013","11/24/2016","2600","4096",
"DOT-TRN",,"LATITUDE D620","D620","PC-LAPTOP","11/26/2006","11/25/2010","2000","3072","57231"
"LIB",,"THINKCENTRE M800","M800","PC-DESKTOP","05/11/2017","06/05/2020","3200","8192",
"FRS",,"THINKCENTRE M710S","M710S","PC-DESKTOP","10/23/2017","10/26/2020","3200","8192",
"LIB",,"THINKPAD L460","L460","PC-LAPTOP","03/31/2017","05/20/2020",,,
"LIB",,"THINKPAD L460","L460","PC-LAPTOP","03/31/2017","05/20/2020",,,
"LIB",,"THINKPAD L460","L460","PC-LAPTOP","03/31/2017","05/20/2020",,,
"LIB",,"THINKPAD L460","L460","PC-LAPTOP","03/31/2017","05/20/2020",,,
"HHS",,"LATITUDE 5410","5410","PC-LAPTOP","09/11/2020",,"1600","8192",
"DPS",,"MICROSOFT SURFACE BOOK 2 13.5","SURFACE BOOK 2 13.5","PC-TABLET","11/01/2019",,"1900","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"DOCR",,"THINKCENTRE M720S","M720S","PC-DESKTOP","09/06/2018",,"2800","8192",
"DPS",,"MICROSOFT SURFACE BOOK 2 13.5","SURFACE BOOK 2 13.5","PC-TABLET","11/01/2019",,"1900","8192",
"DPS",,"MICROSOFT SURFACE BOOK 2 13.5","SURFACE BOOK 2 13.5","PC-TABLET","11/01/2019",,"1900","8192",
"DPS",,"MICROSOFT SURFACE BOOK 2 13.5","SURFACE BOOK 2 13.5","PC-TABLET","11/01/2019",,"1900","8192",
"DPS",,"MICROSOFT SURFACE BOOK 2 13.5","SURFACE BOOK 2 13.5","PC-TABLET","11/01/2019",,"1900","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"DOCR",,"THINKCENTRE M720S","M720S","PC-DESKTOP","09/06/2018",,"2800","8192",
"DOCR",,"THINKCENTRE M720S","M720S","PC-DESKTOP","09/06/2018",,"2800","8192",
"DOCR",,"THINKCENTRE M720S","M720S","PC-DESKTOP","09/06/2018",,"2800","8192",
"CCT",,"LATITUDE 5420","5420","PC-LAPTOP","05/17/2021",,"2600","16384",
"HHS","SHS","LATITUDE 5410","5410","PC-LAPTOP","01/21/2021",,"1700","16384",
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/21/2014","03/06/2017","3200","4096","476937"
"HHS","SHS","THINKCENTRE M83","M83","PC-DESKTOP","01/21/2014","03/06/2017","3200","4096","476937"
"AECC","POL","THINKCENTRE M83","M83","PC-DESKTOP","03/09/2015","04/22/2018","3200","4096",
"FRS",,"THINKCENTRE M720S","M720S","PC-DESKTOP","09/27/2018",,"2800","8192",
"DOCR",,"THINKCENTRE M720S","M720S","PC-DESKTOP","09/06/2018",,"2800","8192",
"CCT",,"THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019",,,
"CCT",,"THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019",,,
"CCT",,"THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019",,,
"CCT",,"THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019",,,
"HHS",,"LATITUDE 5410","5410","PC-LAPTOP","01/21/2021",,"1700","8192",
"CCT",,"LATITUDE 5420","5420","PC-LAPTOP","07/20/2021","07/21/2024","2600","16384",
"DHCA",,"LATITUDE 5410","5410","PC-LAPTOP","09/11/2020",,"1600","16384",
"HHS",,"LATITUDE 5410","5410","PC-LAPTOP","07/28/2020","07/29/2023","1600","8192",
"CCT",,"LATITUDE 5420","5420","PC-LAPTOP","05/17/2021",,"2600","16384",
"CCT",,"LATITUDE 5420","5420","PC-LAPTOP","05/17/2021",,"2600","16384",
"LIB",,"THINKCENTRE M920Z","M920Z","PC-DESKTOP","01/10/2020",,"3000","8192",
"HHS",,"LATITUDE 5300 2-IN-1","5300","PC-LAPTOP","03/13/2020",,"1600","8192",
"CCT",,"LATITUDE 5420","5420","PC-LAPTOP","07/20/2021","07/21/2024","2600","16384",
"HHS",,"LATITUDE 5420","5420","PC-LAPTOP","04/01/2021","04/02/2024","2600","32768",
"PRO",,"THINKPAD L14","L14","PC-LAPTOP","03/16/2021","07/21/2024","2400","24576",
"LIB",,"LATITUDE 5285","5285","PC-TABLET","12/14/2017",,"2600","8192",
"CCT",,"LATITUDE 5420","5420","PC-LAPTOP","07/20/2021","07/21/2024","2600","16384",
"FRS",,"THINKCENTRE M80S","M80S","PC-DESKTOP","11/04/2021","03/15/2025","3100","32768",
"POL",,"E14 GEN 2","E14 GEN 2","PC-LAPTOP","08/24/2021","11/23/2024","2400","8192",
"HHS",,"E14 GEN 2","E14 GEN 2","PC-LAPTOP","08/30/2021","09/27/2024","2400","16384",
"DHCA",,"LATITUDE 5410","5410","PC-LAPTOP","08/07/2020",,"1600","16384",
"HHS",,"LATITUDE 9420","9420","PC-LAPTOP","05/17/2021",,"2600","16384",
"HHS",,"THINCENTRE M630E TINY","M630E TINY","PC-DESKTOP","06/26/2021","07/22/2024","1000","8192",
"DHCA",,"LATITUDE 5410","5410","PC-LAPTOP","09/11/2020",,"1600","16384",
"HHS",,"LATITUDE 5420","5420","PC-LAPTOP","05/17/2021",,"2600","16384",
"HHS",,"LATITUDE 5420","5420","PC-LAPTOP","05/17/2021",,"2600","16384",
"HHS",,"LATITUDE 5420","5420","PC-LAPTOP","05/17/2021",,"2600","16384",
"HHS",,"LATITUDE 5420","5420","PC-LAPTOP","05/17/2021",,"2600","16384",
"CCL",,"E14 GEN 2","E14 GEN 2","PC-LAPTOP","08/26/2021","09/15/2024","2400","16384",
"HHS",,"LATITUDE 5420","5420","PC-LAPTOP","05/17/2021",,,,
"HHS",,"E14 GEN 2","E14 GEN 2","PC-LAPTOP","08/26/2021","09/15/2024","2400","16384",
"POL","FCD","THINKCENTRE M83","M83","PC-DESKTOP","01/21/2014","03/06/2017","3200","8192","476937"
"LIB",,"THINKPAD L490","L490","PC-LAPTOP","07/21/2020","12/03/2021","1600","8192",
"DPS",,"MICROSOFT SURFACE BOOK 2 13.5","SURFACE BOOK 2 13.5","PC-TABLET","11/01/2019",,"1900","8192",
"DPS",,"MICROSOFT SURFACE BOOK 2 13.5","SURFACE BOOK 2 13.5","PC-TABLET","11/01/2019",,"1900","8192",
"DPS",,"MICROSOFT SURFACE BOOK 2 13.5","SURFACE BOOK 2 13.5","PC-TABLET","11/01/2019",,"1900","8192",
"DPS",,"MICROSOFT SURFACE BOOK 2 13.5","SURFACE BOOK 2 13.5","PC-TABLET","11/01/2019",,"1900","8192",
"DPS",,"MICROSOFT SURFACE BOOK 2 13.5","SURFACE BOOK 2 13.5","PC-TABLET","11/01/2019",,"1900","8192",
"DPS",,"MICROSOFT SURFACE BOOK 2 13.5","SURFACE BOOK 2 13.5","PC-TABLET","11/01/2019",,"1900","8192",
